sample-id,absolute-filepath,direction
CBY1,/PHShome/xy090/Jing-aging-mice/JY-3-1_S94_L001_R1_001.fastq.gz,forward
CBY2,/PHShome/xy090/Jing-aging-mice/JY-3-2_S95_L001_R1_001.fastq.gz,forward
CBY3,/PHShome/xy090/Jing-aging-mice/JY-3-3_S96_L001_R1_001.fastq.gz,forward
CBY4,/PHShome/xy090/Jing-aging-mice/JY-3-4_S97_L001_R1_001.fastq.gz,forward
CBY5,/PHShome/xy090/Jing-aging-mice/JY-3-5_S98_L001_R1_001.fastq.gz,forward
CBY6,/PHShome/xy090/Jing-aging-mice/JY-3-6_S99_L001_R1_001.fastq.gz,forward
CBY7,/PHShome/xy090/Jing-aging-mice/JY-3-7_S100_L001_R1_001.fastq.gz,forward
CBY8,/PHShome/xy090/Jing-aging-mice/JY-3-8_S101_L001_R1_001.fastq.gz,forward
CBO1,/PHShome/xy090/Jing-aging-mice/JY-24-1_S102_L001_R1_001.fastq.gz,forward
CBO2,/PHShome/xy090/Jing-aging-mice/JY-24-2_S103_L001_R1_001.fastq.gz,forward
CBO3,/PHShome/xy090/Jing-aging-mice/JY-24-3_S104_L001_R1_001.fastq.gz,forward
CBO4,/PHShome/xy090/Jing-aging-mice/JY-24-4_S105_L001_R1_001.fastq.gz,forward
CBO5,/PHShome/xy090/Jing-aging-mice/JY-24-5_S106_L001_R1_001.fastq.gz,forward
CBO6,/PHShome/xy090/Jing-aging-mice/JY-24-6_S107_L001_R1_001.fastq.gz,forward
CBO7,/PHShome/xy090/Jing-aging-mice/JY-24-7_S108_L001_R1_001.fastq.gz,forward
CBO8,/PHShome/xy090/Jing-aging-mice/JY-24-8_S109_L001_R1_001.fastq.gz,forward
CBY1,/PHShome/xy090/Jing-aging-mice/JY-3-1_S94_L001_R2_001.fastq.gz,reverse
CBY2,/PHShome/xy090/Jing-aging-mice/JY-3-2_S95_L001_R2_001.fastq.gz,reverse
CBY3,/PHShome/xy090/Jing-aging-mice/JY-3-3_S96_L001_R2_001.fastq.gz,reverse
CBY4,/PHShome/xy090/Jing-aging-mice/JY-3-4_S97_L001_R2_001.fastq.gz,reverse
CBY5,/PHShome/xy090/Jing-aging-mice/JY-3-5_S98_L001_R2_001.fastq.gz,reverse
CBY6,/PHShome/xy090/Jing-aging-mice/JY-3-6_S99_L001_R2_001.fastq.gz,reverse
CBY7,/PHShome/xy090/Jing-aging-mice/JY-3-7_S100_L001_R2_001.fastq.gz,reverse
CBY8,/PHShome/xy090/Jing-aging-mice/JY-3-8_S101_L001_R2_001.fastq.gz,reverse
CBO1,/PHShome/xy090/Jing-aging-mice/JY-24-1_S102_L001_R2_001.fastq.gz,reverse
CBO2,/PHShome/xy090/Jing-aging-mice/JY-24-2_S103_L001_R2_001.fastq.gz,reverse
CBO3,/PHShome/xy090/Jing-aging-mice/JY-24-3_S104_L001_R2_001.fastq.gz,reverse
CBO4,/PHShome/xy090/Jing-aging-mice/JY-24-4_S105_L001_R2_001.fastq.gz,reverse
CBO5,/PHShome/xy090/Jing-aging-mice/JY-24-5_S106_L001_R2_001.fastq.gz,reverse
CBO6,/PHShome/xy090/Jing-aging-mice/JY-24-6_S107_L001_R2_001.fastq.gz,reverse
CBO7,/PHShome/xy090/Jing-aging-mice/JY-24-7_S108_L001_R2_001.fastq.gz,reverse
CBO8,/PHShome/xy090/Jing-aging-mice/JY-24-8_S109_L001_R2_001.fastq.gz,reverse
